Nombre de la campaña,Gasto (COP),Alcance (Personas),Impresiones,Clics (Todos),Resultados Principales,Tipo de Resultado,Costo por Resultado
Tráfico Promo Tricolor,24960,8445,10435,569,199,Visitas a la página web,125.43
Combos Tráfico IG,25056,6696,9946,389,250,Visitas al Perfil de Instagram,100.22
TOTALES,50016,15141,20381,958,449,(Interacciones de alto valor),112.82
